"part.gender" "part.age.cat" "part.group.cat" "cont.group.cat" "cont.age.cat" "male_interact" "female_interact" "part.inf" "cont.inf"
"4.24" 0 15 "adult" "child" 0 0.222633621 0.150316379 4 5
"4.25" 0 15 "adult" "child" 0 0.222633621 0.150316379 5 5
"4.1" 1 15 "adult" "child" 0 0.196105315 0.176844685 1 1
"4.1.1" 1 15 "adult" "child" 0 0.196105315 0.176844685 2 1
"4.1.2" 1 15 "adult" "child" 0 0.196105315 0.176844685 3 1
"4.1.3" 1 15 "adult" "child" 0 0.196105315 0.176844685 4 1
"4.1.4" 1 15 "adult" "child" 0 0.196105315 0.176844685 5 1
"4.1.5" 1 15 "adult" "child" 0 0.196105315 0.176844685 1 2
"4.1.6" 1 15 "adult" "child" 0 0.196105315 0.176844685 2 2
"4.1.7" 1 15 "adult" "child" 0 0.196105315 0.176844685 3 2
"4.1.8" 1 15 "adult" "child" 0 0.196105315 0.176844685 4 2
"4.1.9" 1 15 "adult" "child" 0 0.196105315 0.176844685 5 2
"4.1.10" 1 15 "adult" "child" 0 0.196105315 0.176844685 1 3
"4.1.11" 1 15 "adult" "child" 0 0.196105315 0.176844685 2 3
"4.1.12" 1 15 "adult" "child" 0 0.196105315 0.176844685 3 3
"4.1.13" 1 15 "adult" "child" 0 0.196105315 0.176844685 4 3
"4.1.14" 1 15 "adult" "child" 0 0.196105315 0.176844685 5 3
"4.1.15" 1 15 "adult" "child" 0 0.196105315 0.176844685 1 4
"4.1.16" 1 15 "adult" "child" 0 0.196105315 0.176844685 2 4
"4.1.17" 1 15 "adult" "child" 0 0.196105315 0.176844685 3 4
"4.1.18" 1 15 "adult" "child" 0 0.196105315 0.176844685 4 4
"4.1.19" 1 15 "adult" "child" 0 0.196105315 0.176844685 5 4
"4.1.20" 1 15 "adult" "child" 0 0.196105315 0.176844685 1 5
"4.1.21" 1 15 "adult" "child" 0 0.196105315 0.176844685 2 5
"4.1.22" 1 15 "adult" "child" 0 0.196105315 0.176844685 3 5
"4.1.23" 1 15 "adult" "child" 0 0.196105315 0.176844685 4 5
"4.1.24" 1 15 "adult" "child" 0 0.196105315 0.176844685 5 5
"5" 0 20 "adult" "child" 0 0.269451911 0.236618089 1 1
"5.2" 0 20 "adult" "child" 0 0.269451911 0.236618089 2 1
"5.3" 0 20 "adult" "child" 0 0.269451911 0.236618089 3 1
"5.4" 0 20 "adult" "child" 0 0.269451911 0.236618089 4 1
"5.5" 0 20 "adult" "child" 0 0.269451911 0.236618089 5 1
"5.6" 0 20 "adult" "child" 0 0.269451911 0.236618089 1 2
"5.7" 0 20 "adult" "child" 0 0.269451911 0.236618089 2 2
"5.8" 0 20 "adult" "child" 0 0.269451911 0.236618089 3 2
"5.9" 0 20 "adult" "child" 0 0.269451911 0.236618089 4 2
"5.10" 0 20 "adult" "child" 0 0.269451911 0.236618089 5 2
"5.11" 0 20 "adult" "child" 0 0.269451911 0.236618089 1 3
"5.12" 0 20 "adult" "child" 0 0.269451911 0.236618089 2 3
"5.13" 0 20 "adult" "child" 0 0.269451911 0.236618089 3 3
"5.14" 0 20 "adult" "child" 0 0.269451911 0.236618089 4 3
"5.15" 0 20 "adult" "child" 0 0.269451911 0.236618089 5 3
"5.16" 0 20 "adult" "child" 0 0.269451911 0.236618089 1 4
"5.17" 0 20 "adult" "child" 0 0.269451911 0.2366180892 2 4
"5.18" 0 20 "adult" "child" 0 0.269451911 0.236618089 3 4
"5.19" 0 20 "adult" "child" 0 0.269451911 0.236618089 4 4
"5.20" 0 20 "adult" "child" 0 0.269451911 0.236618089 5 4
"5.21" 0 20 "adult" "child" 0 0.269451911 0.236618089 1 5
"5.22" 0 20 "adult" "child" 0 0.269451911 0.236618089 2 5
"5.23" 0 20 "adult" "child" 0 0.269451911 0.236618089 3 5
"5.24" 0 20 "adult" "child" 0 0.269451911 0.236618089 4 5
"5.25" 0 20 "adult" "child" 0 0.269451911 0.236618089 5 5
"5.1" 1 20 "adult" "child" 0 0.223058956 0.283011044 1 1
"5.1.1" 1 20 "adult" "child" 0 0.223058956 0.283011044 2 1
"5.1.2" 1 20 "adult" "child" 0 0.223058956 0.283011044 3 1
"5.1.3" 1 20 "adult" "child" 0 0.223058956 0.283011044 4 1
"5.1.4" 1 20 "adult" "child" 0 0.223058956 0.283011044 5 1
"5.1.5" 1 20 "adult" "child" 0 0.223058956 0.283011044 1 2
"5.1.6" 1 20 "adult" "child" 0 0.223058956 0.283011044 2 2
"5.1.7" 1 20 "adult" "child" 0 0.223058956 0.283011044 3 2
"5.1.8" 1 20 "adult" "child" 0 0.223058956 0.283011044 4 2
"5.1.9" 1 20 "adult" "child" 0 0.223058956 0.283011044 5 2
"5.1.10" 1 20 "adult" "child" 0 0.223058956 0.283011044 1 3
"5.1.11" 1 20 "adult" "child" 0 0.223058956 0.283011044 2 3
"5.1.12" 1 20 "adult" "child" 0 0.223058956 0.283011044 3 3
"5.1.13" 1 20 "adult" "child" 0 0.223058956 0.283011044 4 3
"5.1.14" 1 20 "adult" "child" 0 0.223058956 0.283011044 5 3
"5.1.15" 1 20 "adult" "child" 0 0.223058956 0.283011044 1 4
"5.1.16" 1 20 "adult" "child" 0 0.223058956 0.283011044 2 4
"5.1.17" 1 20 "adult" "child" 0 0.223058956 0.283011044 3 4
"5.1.18" 1 20 "adult" "child" 0 0.223058956 0.283011044 4 4
"5.1.19" 1 20 "adult" "child" 0 0.223058956 0.283011044 5 4
"5.1.20" 1 20 "adult" "child" 0 0.223058956 0.283011044 1 5
"5.1.21" 1 20 "adult" "child" 0 0.223058956 0.283011044 2 5
"5.1.22" 1 20 "adult" "child" 0 0.223058956 0.283011044 3 5
"5.1.23" 1 20 "adult" "child" 0 0.223058956 0.283011044 4 5
"5.1.24" 1 20 "adult" "child" 0 0.223058956 0.283011044 5 5
"6" 0 25 "adult" "child" 0 0.484682979 0.390757021 1 1
"6.2" 0 25 "adult" "child" 0 0.484682979 0.390757021 2 1
"6.3" 0 25 "adult" "child" 0 0.484682979 0.390757021 3 1
"6.4" 0 25 "adult" "child" 0 0.484682979 0.390757021 4 1
"6.5" 0 25 "adult" "child" 0 0.484682979 0.390757021 5 1
"6.6" 0 25 "adult" "child" 0 0.484682979 0.390757021 1 2
"6.7" 0 25 "adult" "child" 0 0.484682979 0.390757021 2 2
"6.8" 0 25 "adult" "child" 0 0.484682979 0.390757021 3 2
"6.9" 0 25 "adult" "child" 0 0.484682979 0.390757021 4 2
"6.10" 0 25 "adult" "child" 0 0.484682979 0.390757021 5 2
"6.11" 0 25 "adult" "child" 0 0.484682979 0.390757021 1 3
"6.12" 0 25 "adult" "child" 0 0.484682979 0.390757021 2 3
"6.13" 0 25 "adult" "child" 0 0.484682979 0.390757021 3 3
"6.14" 0 25 "adult" "child" 0 0.484682979 0.390757021 4 3
"6.15" 0 25 "adult" "child" 0 0.484682979 0.390757021 5 3
"6.16" 0 25 "adult" "child" 0 0.484682979 0.390757021 1 4
"6.17" 0 25 "adult" "child" 0 0.484682979 0.390757021 2 4
"6.18" 0 25 "adult" "child" 0 0.484682979 0.390757021 3 4
"6.19" 0 25 "adult" "child" 0 0.484682979 0.390757021 4 4
"6.20" 0 25 "adult" "child" 0 0.484682979 0.390757021 5 4
"6.21" 0 25 "adult" "child" 0 0.484682979 0.390757021 1 5
"6.22" 0 25 "adult" "child" 0 0.484682979 0.390757021 2 5
"6.23" 0 25 "adult" "child" 0 0.484682979 0.390757021 3 5
"6.24" 0 25 "adult" "child" 0 0.484682979 0.390757021 4 5
"6.25" 0 25 "adult" "child" 0 0.484682979 0.390757021 5 5
"6.1" 1 25 "adult" "child" 0 0.411893645 0.463546355 1 1
"6.1.1" 1 25 "adult" "child" 0 0.411893645 0.463546355 2 1
"6.1.2" 1 25 "adult" "child" 0 0.411893645 0.463546355 3 1
"6.1.3" 1 25 "adult" "child" 0 0.411893645 0.463546355 4 1
"6.1.4" 1 25 "adult" "child" 0 0.411893645 0.463546355 5 1
"6.1.5" 1 25 "adult" "child" 0 0.411893645 0.463546355 1 2
"6.1.6" 1 25 "adult" "child" 0 0.411893645 0.463546355 2 2
"6.1.7" 1 25 "adult" "child" 0 0.411893645 0.463546355 3 2
"6.1.8" 1 25 "adult" "child" 0 0.411893645 0.463546355 4 2
"6.1.9" 1 25 "adult" "child" 0 0.411893645 0.463546355 5 2
"6.1.10" 1 25 "adult" "child" 0 0.411893645 0.463546355 1 3
"6.1.11" 1 25 "adult" "child" 0 0.411893645 0.463546355 2 3
"6.1.12" 1 25 "adult" "child" 0 0.411893645 0.463546355 3 3
"6.1.13" 1 25 "adult" "child" 0 0.411893645 0.463546355 4 3
"6.1.14" 1 25 "adult" "child" 0 0.411893645 0.463546355 5 3
"6.1.15" 1 25 "adult" "child" 0 0.411893645 0.463546355 1 4
"6.1.16" 1 25 "adult" "child" 0 0.411893645 0.463546355 2 4
"6.1.17" 1 25 "adult" "child" 0 0.411893645 0.463546355 3 4
"6.1.18" 1 25 "adult" "child" 0 0.411893645 0.463546355 4 4
"6.1.19" 1 25 "adult" "child" 0 0.411893645 0.463546355 5 4
"6.1.20" 1 25 "adult" "child" 0 0.411893645 0.463546355 1 5
"6.1.21" 1 25 "adult" "child" 0 0.411893645 0.463546355 2 5
"6.1.22" 1 25 "adult" "child" 0 0.411893645 0.463546355 3 5
"6.1.23" 1 25 "adult" "child" 0 0.411893645 0.463546355 4 5
"6.1.24" 1 25 "adult" "child" 0 0.411893645 0.463546355 5 5
"7" 0 30 "adult" "child"  0 0.446811661 0.375888339 1 1
"7.2" 0 30 "adult" "child" 0 0.446811661 0.375888339 2 1
"7.3" 0 30 "adult" "child" 0 0.446811661 0.375888339 3 1
"7.4" 0 30 "adult" "child" 0 0.446811661 0.375888339 4 1
"7.5" 0 30 "adult" "child" 0 0.446811661 0.375888339 5 1
"7.6" 0 30 "adult" "child" 0 0.446811661 0.375888339 1 2
"7.7" 0 30 "adult" "child" 0 0.446811661 0.375888339 2 2
"7.8" 0 30 "adult" "child" 0 0.446811661 0.375888339 3 2
"7.9" 0 30 "adult" "child" 0 0.446811661 0.375888339 4 2
"7.10" 0 30 "adult" "child" 0 0.446811661 0.375888339 5 2
"7.11" 0 30 "adult" "child" 0 0.446811661 0.375888339 1 3
"7.12" 0 30 "adult" "child" 0 0.446811661 0.375888339 2 3
"7.13" 0 30 "adult" "child" 0 0.446811661 0.375888339 3 3
"7.14" 0 30 "adult" "child" 0 0.446811661 0.375888339 4 3
"7.15" 0 30 "adult" "child" 0 0.446811661 0.375888339 5 3
"7.16" 0 30 "adult" "child" 0 0.446811661 0.375888339 1 4
"7.17" 0 30 "adult" "child" 0 0.446811661 0.375888339 2 4
"7.18" 0 30 "adult" "child" 0 0.446811661 0.375888339 3 4
"7.19" 0 30 "adult" "child" 0 0.446811661 0.375888339 4 4
"7.20" 0 30 "adult" "child" 0 0.446811661 0.375888339 5 4
"7.21" 0 30 "adult" "child" 0 0.446811661 0.375888339 1 5
"7.22" 0 30 "adult" "child" 0 0.446811661 0.375888339 2 5
"7.23" 0 30 "adult" "child" 0 0.446811661 0.375888339 3 5
"7.24" 0 30 "adult" "child" 0 0.446811661 0.375888339 4 5
"7.25" 0 30 "adult" "child" 0 0.446811661 0.375888339 5 5
"7.1" 1 30 "adult" "child" 0 0.430793589 0.390112822 1 1
"7.1.1" 1 30 "adult" "child" 0 0.430793589 0.390112822 2 1
"7.1.2" 1 30 "adult" "child" 0 0.430793589 0.390112822 3 1
"7.1.3" 1 30 "adult" "child" 0 0.430793589 0.390112822 4 1
"7.1.4" 1 30 "adult" "child" 0 0.430793589 0.390112822 5 1
"7.1.5" 1 30 "adult" "child" 0 0.430793589 0.390112822 1 2
"7.1.6" 1 30 "adult" "child" 0 0.430793589 0.390112822 2 2
"7.1.7" 1 30 "adult" "child" 0 0.430793589 0.390112822 3 2
"7.1.8" 1 30 "adult" "child" 0 0.430793589 0.390112822 4 2
"7.1.9" 1 30 "adult" "child" 0 0.430793589 0.390112822 5 2
"7.1.10" 1 30 "adult" "child" 0 0.430793589 0.390112822 1 3
"7.1.11" 1 30 "adult" "child" 0 0.430793589 0.390112822 2 3
"7.1.12" 1 30 "adult" "child" 0 0.430793589 0.390112822 3 3
"7.1.13" 1 30 "adult" "child" 0 0.430793589 0.390112822 4 3
"7.1.14" 1 30 "adult" "child" 0 0.430793589 0.390112822 5 3
"7.1.15" 1 30 "adult" "child" 0 0.430793589 0.390112822 1 4
"7.1.16" 1 30 "adult" "child" 0 0.430793589 0.390112822 2 4
"7.1.17" 1 30 "adult" "child" 0 0.430793589 0.390112822 3 4
"7.1.18" 1 30 "adult" "child" 0 0.430793589 0.390112822 4 4
"7.1.19" 1 30 "adult" "child" 0 0.430793589 0.390112822 5 4
"7.1.20" 1 30 "adult" "child" 0 0.430793589 0.390112822 1 5
"7.1.21" 1 30 "adult" "child" 0 0.430793589 0.390112822 2 5
"7.1.22" 1 30 "adult" "child" 0 0.430793589 0.390112822 3 5
"7.1.23" 1 30 "adult" "child" 0 0.430793589 0.390112822 4 5
"7.1.24" 1 30 "adult" "child" 0 0.430793589 0.390112822 5 5
"8" 0 35 "adult" "child" 0 0.428775687 0.351794313 1 1
"8.2" 0 35 "adult" "child" 0 0.428775687 0.351794313 2 1
"8.3" 0 35 "adult" "child" 0 0.428775687 0.351794313 3 1
"8.4" 0 35 "adult" "child" 0 0.428775687 0.351794313 4 1
"8.5" 0 35 "adult" "child" 0 0.428775687 0.351794313 5 1
"8.6" 0 35 "adult" "child" 0 0.428775687 0.351794313 1 2
"8.7" 0 35 "adult" "child" 0 0.428775687 0.351794313 2 2
"8.8" 0 35 "adult" "child" 0 0.428775687 0.351794313 3 2
"8.9" 0 35 "adult" "child" 0 0.428775687 0.351794313 4 2
"8.10" 0 35 "adult" "child" 0 0.428775687 0.351794313 5 2
"8.11" 0 35 "adult" "child" 0 0.428775687 0.351794313 1 3
"8.12" 0 35 "adult" "child" 0 0.428775687 0.351794313 2 3
"8.13" 0 35 "adult" "child" 0 0.428775687 0.351794313 3 3
"8.14" 0 35 "adult" "child" 0 0.428775687 0.351794313 4 3
"8.15" 0 35 "adult" "child" 0 0.428775687 0.351794313 5 3
"8.16" 0 35 "adult" "child" 0 0.428775687 0.351794313 1 4
"8.17" 0 35 "adult" "child" 0 0.428775687 0.351794313 2 4
"8.18" 0 35 "adult" "child" 0 0.428775687 0.351794313 3 4
"8.19" 0 35 "adult" "child" 0 0.428775687 0.351794313 4 4
"8.20" 0 35 "adult" "child" 0 0.428775687 0.351794313 5 4
"8.21" 0 35 "adult" "child" 0 0.428775687 0.351794313 1 5
"8.22" 0 35 "adult" "child" 0 0.428775687 0.351794313 2 5
"8.23" 0 35 "adult" "child" 0 0.428775687 0.351794313 3 5
"8.24" 0 35 "adult" "child" 0 0.428775687 0.351794313 4 5
"8.25" 0 35 "adult" "child" 0 0.428775687 0.351794313 5 5
